model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
AutoEncoder,CelebA,0,6.0,0.011583011583011582,0.6597635526142038,0.040132338847250974,3,60,19746,452,0.996970614965162,0.02237845331220913,"[[19746    60]
 [  452     3]]"
AutoEncoder,CelebA,1,6.0,0.0039603960396039604,0.6683655080655989,0.04018920069444753,1,49,19757,454,0.9975260022215491,0.022463015189748158,"[[19757    49]
 [  454     1]]"
AutoEncoder,CelebA,2,6.0,0.007766990291262136,0.6451564845152323,0.036143376039629756,2,58,19747,453,0.9970714466043928,0.022425742574257425,"[[19747    58]
 [  453     2]]"
AutoEncoder,CelebA,3,6.0,0.011787819253438114,0.6823360734191333,0.04504078787480269,3,51,19754,452,0.9974248927038627,0.02236959319014154,"[[19754    51]
 [  452     3]]"
AutoEncoder,CelebA,4,6.0,0.004032258064516129,0.6593332796968243,0.04008106143251232,1,40,19765,454,0.9979803080030295,0.022454127305999307,"[[19765    40]
 [  454     1]]"
AutoEncoder,CelebA,5,6.0,0.0,0.6756146050364682,0.040940551658728355,0,56,19749,455,0.9971724312042414,0.022520293011284893,"[[19749    56]
 [  455     0]]"
AutoEncoder,CelebA,6,6.0,0.007889546351084813,0.6627273610005243,0.03745056237721883,2,50,19755,453,0.997475385003787,0.022416864608076008,"[[19755    50]
 [  453     2]]"
AutoEncoder,CelebA,7,6.0,0.011787819253438114,0.6456851326868688,0.038052661111557765,3,52,19753,451,0.9973744004039384,0.022322312413383488,"[[19753    52]
 [  451     3]]"
AutoEncoder,CelebA,8,6.0,0.022813688212927757,0.6786900251015685,0.046415066860581604,6,66,19739,448,0.9966675082049987,0.022192500123842076,"[[19739    66]
 [  448     6]]"
AutoEncoder,CelebA,9,6.0,0.0038461538461538464,0.6718569377421044,0.04199251445693962,1,65,19740,453,0.996718000504923,0.022433516565146337,"[[19740    65]
 [  453     1]]"
