model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
AutoEncoder,RT-IOT2022,0,6.0,0.34585841810255347,0.9937199618523368,0.8586146601314022,833,3151,8329,0,0.7255226480836237,0.0,"[[8329 3151]
 [   0  833]]"
AutoEncoder,RT-IOT2022,1,6.0,0.34659445948760675,0.9944735095316269,0.8885515296687436,832,3137,8343,0,0.7267421602787456,0.0,"[[8343 3137]
 [   0  832]]"
AutoEncoder,RT-IOT2022,2,6.0,0.3510548523206751,0.9936620544090057,0.8634090017451987,832,3076,8404,0,0.7320557491289199,0.0,"[[8404 3076]
 [   0  832]]"
AutoEncoder,RT-IOT2022,3,6.0,0.34168377823408624,0.9943433186478156,0.8756506912496009,832,3206,8274,0,0.7207317073170731,0.0,"[[8274 3206]
 [   0  832]]"
AutoEncoder,RT-IOT2022,4,6.0,0.33752535496957403,0.9945694121046637,0.8972980347041853,832,3266,8214,0,0.7155052264808363,0.0,"[[8214 3266]
 [   0  832]]"
AutoEncoder,RT-IOT2022,5,6.0,0.3402862985685072,0.9941342384749398,0.8772724494472742,832,3226,8254,0,0.7189895470383275,0.0,"[[8254 3226]
 [   0  832]]"
AutoEncoder,RT-IOT2022,6,6.0,0.34295136026380874,0.9952192171993003,0.9088960493579563,832,3188,8291,0,0.7222754595348027,0.0,"[[8291 3188]
 [   0  832]]"
AutoEncoder,RT-IOT2022,7,6.0,0.33800528133252083,0.9938870395437822,0.8792692744255611,832,3259,8220,0,0.7160902517640909,0.0,"[[8220 3259]
 [   0  832]]"
AutoEncoder,RT-IOT2022,8,6.0,0.3388311952759112,0.9946762105718134,0.8868037366865623,832,3247,8232,0,0.7171356389929436,0.0,"[[8232 3247]
 [   0  832]]"
AutoEncoder,RT-IOT2022,9,6.0,0.37861205915813423,0.9928890318943623,0.8523394935416112,832,2731,8748,0,0.7620872898336092,0.0,"[[8748 2731]
 [   0  832]]"
