model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
AutoEncoder,bank,0,6.0,0.17753623188405798,0.6902855087504127,0.2982369380190171,49,39,3616,415,0.9893296853625171,0.10295212106177128,"[[3616   39]
 [ 415   49]]"
AutoEncoder,bank,1,6.0,0.14041745730550284,0.7005448370206142,0.29291907028892794,37,26,3629,427,0.9928864569083448,0.10527613412228796,"[[3629   26]
 [ 427   37]]"
AutoEncoder,bank,2,6.0,0.1589648798521257,0.7289636303599227,0.3115418242079354,43,34,3621,421,0.9906976744186047,0.1041563582384958,"[[3621   34]
 [ 421   43]]"
AutoEncoder,bank,3,6.0,0.15037593984962405,0.7155290343884145,0.30533081867745315,40,28,3627,424,0.9923392612859097,0.10466551468773143,"[[3627   28]
 [ 424   40]]"
AutoEncoder,bank,4,6.0,0.1589648798521257,0.7009640784942686,0.28911700778068317,43,34,3621,421,0.9906976744186047,0.1041563582384958,"[[3621   34]
 [ 421   43]]"
AutoEncoder,bank,5,6.0,0.12790697674418605,0.7062196330015567,0.3115651249639751,33,19,3636,431,0.9948016415868673,0.10597492008851733,"[[3636   19]
 [ 431   33]]"
AutoEncoder,bank,6,6.0,0.17343173431734318,0.7124829001367989,0.30571580342129684,47,31,3624,417,0.9915184678522572,0.10319227913882702,"[[3624   31]
 [ 417   47]]"
AutoEncoder,bank,7,6.0,0.13610586011342155,0.7105588707014482,0.31107381716861676,36,29,3626,428,0.9920656634746922,0.10557474099654662,"[[3626   29]
 [ 428   36]]"
AutoEncoder,bank,8,6.0,0.1724770642201835,0.6990945208840572,0.29756549979558256,47,34,3620,417,0.9906951286261632,0.10329452563784988,"[[3620   34]
 [ 417   47]]"
AutoEncoder,bank,9,6.0,0.148975791433892,0.7035204688296246,0.28756366032579783,40,33,3621,424,0.9909688013136289,0.10482076637824475,"[[3621   33]
 [ 424   40]]"
