model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
AutoEncoder,cic-ids2018-fri02,0,6.0,0.005724181057289913,0.3243101113475133,0.19731271225322752,119,12839,62995,28501,0.8306959938813725,0.31149995628224186,"[[62995 12839]
 [28501   119]]"
AutoEncoder,cic-ids2018-fri02,1,6.0,0.004943486955935555,0.47542640972675265,0.24888889146888182,110,15774,60060,28509,0.7919930374238469,0.32188463232056364,"[[60060 15774]
 [28509   110]]"
AutoEncoder,cic-ids2018-fri02,2,6.0,0.005871327597497911,0.4800961892686091,0.24961751607489138,130,15534,60300,28489,0.7951578447661999,0.320861818468504,"[[60300 15534]
 [28489   130]]"
AutoEncoder,cic-ids2018-fri02,3,6.0,0.00538450242302609,0.5554417211691401,0.27181582009546584,110,12129,63705,28509,0.8400585489358335,0.309161298718199,"[[63705 12129]
 [28509   110]]"
AutoEncoder,cic-ids2018-fri02,4,6.0,0.005871990604815032,0.5506314714495875,0.2676005589480003,120,12133,63700,28499,0.8400036923239224,0.30910313560884606,"[[63700 12133]
 [28499   120]]"
AutoEncoder,cic-ids2018-fri02,5,6.0,0.005626229181707286,0.5991428122742011,0.2903887951011719,113,11437,64396,28506,0.8491817546450754,0.3068394652429442,"[[64396 11437]
 [28506   113]]"
AutoEncoder,cic-ids2018-fri02,6,6.0,0.005740974992702151,0.6179357914771009,0.3027918597129424,118,12371,63462,28501,0.8368652169899647,0.30991811924360885,"[[63462 12371]
 [28501   118]]"
AutoEncoder,cic-ids2018-fri02,7,6.0,0.005746286827367908,0.5885505053665514,0.2925982859933598,118,12333,63500,28501,0.8373663180937059,0.3097901109770546,"[[63500 12333]
 [28501   118]]"
AutoEncoder,cic-ids2018-fri02,8,6.0,0.006077863654853916,0.5771027179903438,0.287159034824479,127,13045,62788,28492,0.8279772658341356,0.3121384750219106,"[[62788 13045]
 [28492   127]]"
AutoEncoder,cic-ids2018-fri02,9,6.0,0.004203888596952181,0.5747945123744581,0.2882341981070492,88,13159,62674,28531,0.8264739625229122,0.312822761909983,"[[62674 13159]
 [28531    88]]"
