model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
AutoEncoder,cic-ids2018-thu15,0,6.0,0.12682534207197885,0.7492625059942504,0.22961423279545057,1103,11041,87764,4147,0.8882546429836546,0.0451197353961985,"[[87764 11041]
 [ 4147  1103]]"
AutoEncoder,cic-ids2018-thu15,1,6.0,0.17851239669421487,0.7456116843903697,0.22187217402397577,1620,11280,87525,3630,0.8858357370578412,0.03982228073062366,"[[87525 11280]
 [ 3630  1620]]"
AutoEncoder,cic-ids2018-thu15,2,6.0,0.1570175438596491,0.7946884546521407,0.25593350489239763,1253,9457,89348,3997,0.9042862203329791,0.042819647544056996,"[[89348  9457]
 [ 3997  1253]]"
AutoEncoder,cic-ids2018-thu15,3,6.0,0.19229552786387502,0.8516740515830846,0.27343261852814305,1520,9039,89766,3730,0.9085167754668286,0.03989475485582271,"[[89766  9039]
 [ 3730  1520]]"
AutoEncoder,cic-ids2018-thu15,4,6.0,0.20628432750031933,0.8470968704591293,0.27892535526724177,1615,8793,90012,3635,0.9110065280097162,0.038815979155765803,"[[90012  8793]
 [ 3635  1615]]"
AutoEncoder,cic-ids2018-thu15,5,6.0,0.15554538919024902,0.8459416657630107,0.265101484287791,1190,8861,89944,4060,0.9103183037295683,0.04318965150419131,"[[89944  8861]
 [ 4060  1190]]"
AutoEncoder,cic-ids2018-thu15,6,6.0,0.16674840608141245,0.8341640296784671,0.25041785767648655,1360,9702,89103,3890,0.9018065887353879,0.04183110556708569,"[[89103  9702]
 [ 3890  1360]]"
AutoEncoder,cic-ids2018-thu15,7,6.0,0.20776566757493187,0.8583137599070799,0.2936271429359,1525,7905,90900,3725,0.9199939274328223,0.03936591809775429,"[[90900  7905]
 [ 3725  1525]]"
AutoEncoder,cic-ids2018-thu15,8,6.0,0.17404149600483448,0.863896606937182,0.27044227421381983,1296,8348,90457,3953,0.9155103486665654,0.041870564558839106,"[[90457  8348]
 [ 3953  1296]]"
AutoEncoder,cic-ids2018-thu15,9,6.0,0.18811711660293362,0.8583474559469177,0.2565933376304529,1648,10624,88181,3601,0.8924750771722079,0.03923427251530801,"[[88181 10624]
 [ 3601  1648]]"
