model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
AutoEncoder,cic-ids2018-wed21,0,6.0,0.9325297284104622,0.9690480405367805,0.9469191441091941,68775,9952,26132,0,0.7241990910098659,0.0,"[[26132  9952]
 [    0 68775]]"
AutoEncoder,cic-ids2018-wed21,1,6.0,0.911174557330136,0.9457479347333302,0.9049086273621696,68775,13409,22675,0,0.6283948564460703,0.0,"[[22675 13409]
 [    0 68775]]"
AutoEncoder,cic-ids2018-wed21,2,6.0,0.9356370314944562,0.9772490784783193,0.9538047511132082,68774,9462,26622,0,0.737778516794147,0.0,"[[26622  9462]
 [    0 68774]]"
AutoEncoder,cic-ids2018-wed21,3,6.0,0.9485087749543151,0.9844562042776106,0.9714930711849101,68774,7467,28616,0,0.7930604439763878,0.0,"[[28616  7467]
 [    0 68774]]"
AutoEncoder,cic-ids2018-wed21,4,6.0,0.9404026937408129,0.9865848169009298,0.9737811959057567,68774,8717,27366,0,0.7584180916220935,0.0,"[[27366  8717]
 [    0 68774]]"
AutoEncoder,cic-ids2018-wed21,5,6.0,0.9470133017542893,0.9863241261222973,0.97544696031816,68774,7696,28387,0,0.7867139650250811,0.0,"[[28387  7696]
 [    0 68774]]"
AutoEncoder,cic-ids2018-wed21,6,6.0,0.9355097599129429,0.9861066974329896,0.9745188186616969,68774,9482,26601,0,0.7372169719812655,0.0,"[[26601  9482]
 [    0 68774]]"
AutoEncoder,cic-ids2018-wed21,7,6.0,0.9732950283749169,0.9901977119229881,0.9794245465745186,68774,3774,32309,0,0.8954078097719147,0.0,"[[32309  3774]
 [    0 68774]]"
AutoEncoder,cic-ids2018-wed21,8,6.0,0.9838771977511052,0.9912241462765362,0.9807939330971183,68774,2254,33829,0,0.9375329102347366,0.0,"[[33829  2254]
 [    0 68774]]"
AutoEncoder,cic-ids2018-wed21,9,6.0,0.9845603235388856,0.9919010300567344,0.9789850748089657,68774,2157,33926,0,0.9402211567774298,0.0,"[[33926  2157]
 [    0 68774]]"
