model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
AutoEncoder,kddcup99,0,6.0,0.29701230228471004,0.9995599234078169,0.9774671576394108,338,1600,8128,0,0.8355263157894737,0.0,"[[8128 1600]
 [   0  338]]"
AutoEncoder,kddcup99,1,6.0,0.33316904879250864,0.999954988710682,0.9987450999660481,338,1353,8375,0,0.8609169407894737,0.0,"[[8375 1353]
 [   0  338]]"
AutoEncoder,kddcup99,2,6.0,0.2843920908708456,0.9995793877491437,0.9812596419852837,338,1701,8027,0,0.8251439144736842,0.0,"[[8027 1701]
 [   0  338]]"
AutoEncoder,kddcup99,3,6.0,0.28559357836924376,0.9994510447485208,0.9678755555537283,338,1691,8037,0,0.826171875,0.0,"[[8037 1691]
 [   0  338]]"
AutoEncoder,kddcup99,4,6.0,0.2643723113023074,0.9997503089964186,0.9824268864823895,338,1881,7847,0,0.806640625,0.0,"[[7847 1881]
 [   0  338]]"
AutoEncoder,kddcup99,5,6.0,0.2809642560266002,0.9993883938998754,0.979530471108131,338,1730,7998,0,0.8221628289473685,0.0,"[[7998 1730]
 [   0  338]]"
AutoEncoder,kddcup99,6,6.0,0.29100301334481277,0.9996855292354406,0.9880070537991875,338,1647,8081,0,0.8306949013157895,0.0,"[[8081 1647]
 [   0  338]]"
AutoEncoder,kddcup99,7,6.0,0.2835506941522928,0.9996754451038576,0.9872069845802862,337,1703,8025,0,0.824938322368421,0.0,"[[8025 1703]
 [   0  337]]"
AutoEncoder,kddcup99,8,6.0,0.30143112701252234,0.9994530199673642,0.9934454780740136,337,1562,8165,0,0.8394160583941606,0.0,"[[8165 1562]
 [   0  337]]"
AutoEncoder,kddcup99,9,6.0,0.32830004870920604,0.9991873090870376,0.9801238673676481,337,1379,8348,0,0.8582296699907475,0.0,"[[8348 1379]
 [   0  337]]"
