model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
Isolation Forest,CelebA,0,0,0.004329004329004329,0.6794251492221804,0.055538483631939535,1,6,19800,454,0.9996970614965162,0.022415325367828576,"[[19800     6]
 [  454     1]]"
Isolation Forest,CelebA,1,0,0.0,0.6942393413917194,0.04584404527937095,0,7,19799,455,0.9996465717459356,0.022464698331193838,"[[19799     7]
 [  455     0]]"
Isolation Forest,CelebA,2,0,0.004329004329004329,0.6550098071582545,0.04200022617143653,1,6,19799,454,0.9996970462004544,0.022416432133511084,"[[19799     6]
 [  454     1]]"
Isolation Forest,CelebA,3,0,0.008658008658008658,0.7005022041830928,0.06407352887664382,2,5,19800,453,0.9997475385003787,0.02236705673233595,"[[19800     5]
 [  453     2]]"
Isolation Forest,CelebA,4,0,0.0,0.6618712113435667,0.04601336821027206,0,6,19799,455,0.9996970462004544,0.022464698331193838,"[[19799     6]
 [  455     0]]"
Isolation Forest,CelebA,5,0,0.0,0.7013867626945133,0.05493314337589172,0,5,19800,455,0.9997475385003787,0.022463589237225377,"[[19800     5]
 [  455     0]]"
Isolation Forest,CelebA,6,0,0.00437636761487965,0.6648441535742722,0.04736091776150214,1,1,19804,454,0.9999495077000757,0.02241089939776878,"[[19804     1]
 [  454     1]]"
Isolation Forest,CelebA,7,0,0.0,0.649495188217277,0.04354333327268294,0,3,19802,454,0.9998485231002272,0.022413112164297,"[[19802     3]
 [  454     0]]"
Isolation Forest,CelebA,8,0,0.008620689655172414,0.6943693300428073,0.05128915211709723,2,8,19797,452,0.9995960616006059,0.022322089979752085,"[[19797     8]
 [  452     2]]"
Isolation Forest,CelebA,9,0,0.004310344827586207,0.6749320745106195,0.04967014673949659,1,9,19796,453,0.9995455693006816,0.022371475134574548,"[[19796     9]
 [  453     1]]"
