model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
Isolation Forest,RT-IOT2022,0,0,0.4811046511627907,0.963243555261826,0.6114768140659086,331,212,11268,502,0.9815331010452961,0.04265080713678845,"[[11268   212]
 [  502   331]]"
Isolation Forest,RT-IOT2022,1,0,0.5350089766606823,0.9678118089989278,0.6285180250590191,447,392,11088,385,0.9658536585365853,0.03355704697986577,"[[11088   392]
 [  385   447]]"
Isolation Forest,RT-IOT2022,2,0,0.5269016697588126,0.963603403075583,0.5985457292746325,426,359,11121,406,0.9687282229965157,0.03522165350915243,"[[11121   359]
 [  406   426]]"
Isolation Forest,RT-IOT2022,3,0,0.5223684210526316,0.9671580277573038,0.6321734079928037,397,291,11189,435,0.9746515679442509,0.03742257398485891,"[[11189   291]
 [  435   397]]"
Isolation Forest,RT-IOT2022,4,0,0.4941022280471822,0.9602182830507907,0.5976481941041962,377,317,11163,455,0.9723867595818816,0.039163367188844896,"[[11163   317]
 [  455   377]]"
Isolation Forest,RT-IOT2022,5,0,0.4930601454064772,0.9673177432323774,0.6128566007875138,373,308,11172,459,0.973170731707317,0.0394635027082796,"[[11172   308]
 [  459   373]]"
Isolation Forest,RT-IOT2022,6,0,0.44716692189892804,0.9647459805363641,0.6295907084401853,292,182,11297,540,0.984144960362401,0.04561966714539157,"[[11297   182]
 [  540   292]]"
Isolation Forest,RT-IOT2022,7,0,0.4908579465541491,0.9600361885751238,0.5928824806254499,349,241,11238,483,0.9790051398205418,0.04120808804709496,"[[11238   241]
 [  483   349]]"
Isolation Forest,RT-IOT2022,8,0,0.5333333333333333,0.9670875788228672,0.6335680452832465,424,334,11145,408,0.9709033887969335,0.03531550246689172,"[[11145   334]
 [  408   424]]"
Isolation Forest,RT-IOT2022,9,0,0.5353925353925354,0.9623226590194804,0.6055340166272698,416,306,11173,416,0.9733426256642564,0.03589610837863491,"[[11173   306]
 [  416   416]]"
