feature,importance
age,0.054408797169233865
euribor3m,0.052398704167051176
campaign,0.05077790468465877
duration,0.04930724139744079
cons.conf.idx,0.02725792187452171
cons.price.idx,0.026175966995150422
education=high.school,0.025508214363575147
housing=0,0.02547046748032763
marital=married,0.025149643649154552
housing=1,0.024846499424471955
day_of_week=mon,0.02480315389869613
contact=cellular,0.023532458087474183
nr.employed,0.022995916915125713
emp.var.rate,0.022360823980341272
default=unknown,0.02171244086726044
education=university.degree,0.021580777856141473
default=0,0.021249367834830887
marital=single,0.020691215950279482
month=may,0.020411110777439886
day_of_week=thu,0.02036781343750134
day_of_week=wed,0.02014924770617561
loan=1,0.019899304097278275
marital=divorced,0.01944162773127481
day_of_week=fri,0.01882590928117716
day_of_week=tue,0.018425528085709495
loan=0,0.018125049143707456
job=admin.,0.01604641378193572
education=basic.4y,0.0150844122718865
job=blue-collar,0.014960948520750788
job=technician,0.014776549861787294
education=basic.9y,0.014598067075572192
month=jul,0.014290197188661622
education=professional.course,0.014222789794931608
previous,0.013133081467961265
month=jun,0.012611341749610303
education=basic.6y,0.012140489125887366
poutcome=nonexistent,0.011612028874712294
month=aug,0.011287459335503734
job=services,0.010889779436757984
month=nov,0.010398472065643274
poutcome=failure,0.010068815240275
job=management,0.009817893198103859
education=unknown,0.008913116903146922
month=apr,0.008544308739127118
job=entrepreneur,0.007962093673573874
job=housemaid,0.007232877574305672
job=unemployed,0.006679295147581755
job=retired,0.006410857904010918
pdays,0.0058259575618248485
loan=unknown,0.005635030551126751
job=self-employed,0.0055084231847866635
job=student,0.0052854537843399696
poutcome=success,0.00521932265597581
job=unknown,0.004880212166840519
housing=unknown,0.0048008536840681675
month=oct,0.004435927036991988
month=sep,0.004145841229018168
month=mar,0.0033244448724183318
marital=unknown,0.001876807668859901
month=dec,0.001204653685381982
education=illiterate,0.00030267613064029355
default=1,0.0
