model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
Isolation Forest,bank,0,0,0.1944954128440367,0.7238018302750131,0.3322114401361855,53,28,3627,411,0.9923392612859097,0.10178306092124814,"[[3627   28]
 [ 411   53]]"
Isolation Forest,bank,1,0,0.14857142857142858,0.7322067078635786,0.31742959463833864,39,22,3633,425,0.9939808481532147,0.10473139477575161,"[[3633   22]
 [ 425   39]]"
Isolation Forest,bank,2,0,0.2048417132216015,0.7296393697815935,0.3550724777843422,55,18,3637,409,0.9950752393980848,0.10108749382105783,"[[3637   18]
 [ 409   55]]"
Isolation Forest,bank,3,0,0.18484288354898337,0.7521840652860984,0.34009378360330716,50,27,3628,414,0.9926128590971273,0.1024245423057892,"[[3628   27]
 [ 414   50]]"
Isolation Forest,bank,4,0,0.1918819188191882,0.7220629510825983,0.3243812069361973,52,26,3629,412,0.9928864569083448,0.10195496164315763,"[[3629   26]
 [ 412   52]]"
Isolation Forest,bank,5,0,0.2422145328719723,0.7674194537478183,0.35889561189756247,70,44,3611,394,0.9879616963064295,0.09837702871410736,"[[3611   44]
 [ 394   70]]"
Isolation Forest,bank,6,0,0.1962962962962963,0.7527159299966979,0.34863716142642187,53,23,3632,411,0.9937072503419973,0.10165718525847144,"[[3632   23]
 [ 411   53]]"
Isolation Forest,bank,7,0,0.2048417132216015,0.7424026487098448,0.365735375127604,55,18,3637,409,0.9950752393980848,0.10108749382105783,"[[3637   18]
 [ 409   55]]"
Isolation Forest,bank,8,0,0.11857707509881422,0.7243703168940981,0.3241556014766857,30,12,3642,434,0.9967159277504105,0.10647693817468105,"[[3642   12]
 [ 434   30]]"
Isolation Forest,bank,9,0,0.23593466424682397,0.7390451300417115,0.35359016150206,65,22,3632,399,0.9939792008757526,0.09898288265938973,"[[3632   22]
 [ 399   65]]"
