model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
Isolation Forest,cic-ids2018-fri02,0,0,0.5879976085925742,0.5431014502842069,0.4160997173212266,14261,5626,70208,14359,0.925811641216341,0.1697943642319108,"[[70208  5626]
 [14359 14261]]"
Isolation Forest,cic-ids2018-fri02,1,0,0.5933603105128417,0.5737548781921611,0.4412104565616185,14370,5447,70387,14249,0.928172060025846,0.16835625502150386,"[[70387  5447]
 [14249 14370]]"
Isolation Forest,cic-ids2018-fri02,2,0,0.5920083246618106,0.5711138438478096,0.44359399408120437,14223,5208,70626,14396,0.9313236806709392,0.1693208816541601,"[[70626  5208]
 [14396 14223]]"
Isolation Forest,cic-ids2018-fri02,3,0,0.5787799706410047,0.5467538578885667,0.39819120744839664,14194,6235,69599,14425,0.9177809425851201,0.17167713986480054,"[[69599  6235]
 [14425 14194]]"
Isolation Forest,cic-ids2018-fri02,4,0,0.5905239387598665,0.5462620565948154,0.4120130857841545,14252,5398,70435,14367,0.9288172695264595,0.16941817409966747,"[[70435  5398]
 [14367 14252]]"
Isolation Forest,cic-ids2018-fri02,5,0,0.41722457530628043,0.5284026206911034,0.3733727367267698,9161,6134,69699,19458,0.9191117323592631,0.21824422086880446,"[[69699  6134]
 [19458  9161]]"
Isolation Forest,cic-ids2018-fri02,6,0,0.35701711491442545,0.5317257050791899,0.39225940404359266,7301,4980,70853,21318,0.9343293816676117,0.2312874982369726,"[[70853  4980]
 [21318  7301]]"
Isolation Forest,cic-ids2018-fri02,7,0,0.5859578650485022,0.5514370559291247,0.41762291521616135,13712,4471,71362,14907,0.9410414990835124,0.17279671724489679,"[[71362  4471]
 [14907 13712]]"
Isolation Forest,cic-ids2018-fri02,8,0,0.4972918226253908,0.5836147604962093,0.3982848137022823,11293,5506,70327,17326,0.9273930874421425,0.19766579580847204,"[[70327  5506]
 [17326 11293]]"
Isolation Forest,cic-ids2018-fri02,9,0,0.3535686432363078,0.5919203278338279,0.42433951406252235,7027,4103,71730,21592,0.9458942676671106,0.23137095218705128,"[[71730  4103]
 [21592  7027]]"
