feature,importance
time_cos,0.038279986237727465
time_sin,0.0365790749585178
Flow IAT Mean,0.02959017108363039
Flow Duration,0.029202534449579588
Fwd Pkts/s,0.028272936992543504
Flow Pkts/s,0.0278873294859896
Flow IAT Max,0.027125469347157326
Flow IAT Min,0.025780660944859934
Fwd IAT Min,0.025513835933468204
Fwd IAT Max,0.025172097621843623
Fwd IAT Tot,0.02400669525331925
Fwd IAT Mean,0.023356215825704067
Bwd Pkts/s,0.019887224906863853
Flow IAT Std,0.019553963044100408
Flow Byts/s,0.018282831218420368
Dst Port,0.01794986240314954
Bwd IAT Tot,0.0174238171344671
Bwd IAT Mean,0.016497716320682497
Fwd IAT Std,0.016306686163270103
Bwd IAT Max,0.016149059420744873
Idle Min,0.016105377897493164
Pkt Size Avg,0.015970204211792873
Idle Max,0.015471918791385758
Idle Mean,0.015363677901333387
Init Fwd Win Byts,0.01514267329464501
Pkt Len Var,0.015091136116685137
Subflow Fwd Pkts,0.014430830287903944
Subflow Fwd Byts,0.014329035531666912
Pkt Len Mean,0.014145070578671225
TotLen Fwd Pkts,0.014061426239477735
Bwd IAT Std,0.014021774807966124
Fwd Pkt Len Mean,0.013639716415595122
Init Bwd Win Byts,0.01357708844677963
TotLen Bwd Pkts,0.01357313997962958
Fwd Header Len,0.013546525374108477
Fwd Pkt Len Max,0.01353247422299787
Bwd IAT Min,0.013475278578066045
Bwd Seg Size Avg,0.013114330327928896
Pkt Len Std,0.013028583785755112
Fwd Seg Size Avg,0.0127973707584624
Bwd Pkt Len Mean,0.012715733711063994
Tot Fwd Pkts,0.012647688137334641
Bwd Header Len,0.012622135054419408
Subflow Bwd Byts,0.012587757157515748
Active Mean,0.01241811591916672
Active Min,0.012217103023590374
Active Max,0.011985701122882182
Pkt Len Max,0.011874869662563736
Fwd Pkt Len Std,0.011718098027647481
Subflow Bwd Pkts,0.011689136647882398
Tot Bwd Pkts,0.011536193587878406
Bwd Pkt Len Std,0.010861959609531664
Fwd Act Data Pkts,0.010766902868796238
Down/Up Ratio,0.009903524626950093
Bwd Pkt Len Max,0.0097594235728961
Idle Std,0.009741260562476452
Active Std,0.008561469085262756
ECE Flag Cnt,0.004326239465747492
Pkt Len Min,0.0039830667822173095
RST Flag Cnt,0.0038891995513149658
Fwd Pkt Len Min,0.003852043497647554
Bwd Pkt Len Min,0.0037353979839503783
Fwd PSH Flags,0.003489275161539444
ACK Flag Cnt,0.0033053341342364727
Fwd Seg Size Min,0.0031417623340767808
SYN Flag Cnt,0.0022700053861721315
Protocol,0.0022441914227828326
PSH Flag Cnt,0.001994859264063355
URG Flag Cnt,0.0019508680796185372
FIN Flag Cnt,0.0009748822643904541
Bwd Blk Rate Avg,0.0
Bwd Pkts/b Avg,0.0
Bwd URG Flags,0.0
Bwd Byts/b Avg,0.0
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd Blk Rate Avg,0.0
Fwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
CWE Flag Count,0.0
