model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
Isolation Forest,cic-ids2018-thu15,0,0,0.20541617607100807,0.8396046739489278,0.2475257341422741,1134,4657,94148,4116,0.9528667577551744,0.041887161116990965,"[[94148  4657]
 [ 4116  1134]]"
Isolation Forest,cic-ids2018-thu15,1,0,0.24524524524524524,0.8673413982808851,0.27412235407934576,1470,5268,93537,3780,0.9466828601791407,0.038842134467770274,"[[93537  5268]
 [ 3780  1470]]"
Isolation Forest,cic-ids2018-thu15,2,0,0.20003384667456423,0.8649350500384355,0.2774541294626948,1182,5386,93419,4068,0.9454885886341784,0.0417286407418425,"[[93419  5386]
 [ 4068  1182]]"
Isolation Forest,cic-ids2018-thu15,3,0,0.1970524017467249,0.8464487472920447,0.24565537874118534,1083,4659,94146,4167,0.9528465158645818,0.042385035549723844,"[[94146  4659]
 [ 4167  1083]]"
Isolation Forest,cic-ids2018-thu15,4,0,0.20058319342581957,0.8533958113744966,0.24744238919291456,1135,4932,93873,4115,0.9500834977986944,0.04199493815569253,"[[93873  4932]
 [ 4115  1135]]"
Isolation Forest,cic-ids2018-thu15,5,0,0.18614909572121746,0.8610673780245361,0.2597777253323078,1266,7086,91719,3984,0.9282829816304843,0.041628789066173476,"[[91719  7086]
 [ 3984  1266]]"
Isolation Forest,cic-ids2018-thu15,6,0,0.2430308422301305,0.8734296423209738,0.27602148447323643,1639,6599,92206,3611,0.9332118819897779,0.037686423077324484,"[[92206  6599]
 [ 3611  1639]]"
Isolation Forest,cic-ids2018-thu15,7,0,0.22643090589122603,0.8542786431186006,0.277670967944647,1351,5332,93473,3899,0.9460351196801782,0.04004231195826315,"[[93473  5332]
 [ 3899  1351]]"
Isolation Forest,cic-ids2018-thu15,8,0,0.20143149284253578,0.8427687219676545,0.25579468655773613,1182,5305,93500,4067,0.946308385203178,0.04168417600213187,"[[93500  5305]
 [ 4067  1182]]"
Isolation Forest,cic-ids2018-thu15,9,0,0.1976779712801711,0.8564927199330918,0.25757181648145594,1294,6549,92256,3955,0.9337179292545924,0.04110756566296993,"[[92256  6549]
 [ 3955  1294]]"
