feature,importance
time_sin,0.039338722021170544
Fwd Pkts/s,0.0382057915076751
Flow IAT Min,0.03762210238669868
time_cos,0.03742833507700364
Flow Duration,0.037330131148748676
Flow Pkts/s,0.03704527240070334
Flow Byts/s,0.036566381081805155
Flow IAT Std,0.036508923612285075
Fwd IAT Min,0.03576282863311826
Fwd IAT Tot,0.034645856687872414
Fwd IAT Std,0.03450117806207456
Flow IAT Mean,0.03445841523331633
Fwd IAT Mean,0.03387951882855205
Dst Port,0.03353435012392076
Flow IAT Max,0.033166973529773366
Fwd IAT Max,0.03262501231482179
Bwd IAT Mean,0.031881783084244206
Bwd IAT Min,0.030932435438854745
Bwd IAT Tot,0.0308245275411967
Bwd Pkts/s,0.030756955311955273
Bwd IAT Max,0.029740042072334525
Pkt Size Avg,0.021713404227023905
TotLen Bwd Pkts,0.020296658206374274
Bwd Seg Size Avg,0.019889287208757
Bwd Pkt Len Mean,0.019724110809838626
Bwd Pkt Len Max,0.01959344187846883
Pkt Len Mean,0.01953067913014285
Bwd Pkt Len Std,0.01947933690815744
Pkt Len Var,0.019027012524078114
Subflow Bwd Byts,0.01877152011964455
Pkt Len Std,0.01761544745486583
Active Max,0.00718768599499687
Active Mean,0.006699008302588251
Idle Min,0.006211450425783142
Active Min,0.005388838298318568
Subflow Fwd Byts,0.004510297463382059
Idle Std,0.00443636248916706
Fwd Header Len,0.004342712148504924
Subflow Fwd Pkts,0.004340478775854017
Idle Max,0.004212057913954299
Tot Fwd Pkts,0.0037492930247417775
Idle Mean,0.0035007117046786545
TotLen Fwd Pkts,0.0033967589623821563
Active Std,0.0033861817324213257
Fwd Act Data Pkts,0.002767376638986632
Init Fwd Win Byts,0.0015355567240999542
Fwd Seg Size Min,0.0012386854779447337
Fwd Pkt Len Mean,0.001105304753089652
Protocol,0.0008905405232337414
Down/Up Ratio,0.0008717989463005157
Fwd Seg Size Avg,0.0007976588568892906
Subflow Bwd Pkts,0.0007936463849441194
Tot Bwd Pkts,0.0007201335622095397
Init Bwd Win Byts,0.0006238342033602401
PSH Flag Cnt,0.0005659247382362261
ACK Flag Cnt,0.0005617172886095905
Fwd Pkt Len Std,0.0005366600748843102
Bwd IAT Std,0.0004976229117451083
Bwd Header Len,0.0004451372193080853
Fwd Pkt Len Min,0.0004366689985027823
Pkt Len Max,0.00036802865665924457
Pkt Len Min,0.00033731348438258596
Fwd Pkt Len Max,0.00032204245861818036
URG Flag Cnt,0.0002788202772676918
Bwd Pkt Len Min,0.00016462529351607088
ECE Flag Cnt,0.00015872655627268963
RST Flag Cnt,0.00012899331217052377
Fwd PSH Flags,6.806104672827655e-05
SYN Flag Cnt,2.6849809790517906e-05
Fwd Byts/b Avg,0.0
CWE Flag Count,0.0
Bwd URG Flags,0.0
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Blk Rate Avg,0.0
Bwd Pkts/b Avg,0.0
Bwd Byts/b Avg,0.0
Fwd Blk Rate Avg,0.0
Fwd Pkts/b Avg,0.0
FIN Flag Cnt,0.0
