feature,importance
dst_host_srv_count,0.09364320694141422
dst_host_same_src_port_rate,0.08905452880784573
dst_host_count,0.08086387075435339
dst_host_diff_srv_rate,0.06349538397207835
src_bytes,0.058978393094836046
dst_host_same_srv_rate,0.058514181180680885
dst_host_srv_diff_host_rate,0.05350630461916025
srv_count,0.053190489500390244
dst_bytes,0.044912280636926726
count,0.04440881896676903
duration,0.03706943595428854
srv_diff_host_rate,0.03390423768647762
dst_host_srv_rerror_rate,0.03007908684284264
dst_host_rerror_rate,0.024266522365847948
same_srv_rate,0.022102244415546653
dst_host_serror_rate,0.021488444378343748
diff_srv_rate,0.020863981595285203
dst_host_srv_serror_rate,0.015320790420906769
logged_in,0.009230647819307368
serror_rate,0.008410341281728573
service_b'http',0.008362970080314846
hot,0.007818833440077166
srv_rerror_rate,0.007628621028242101
service_b'smtp',0.007108254117729588
rerror_rate,0.0056292720168458705
service_b'other',0.005384847196650043
flag_b'REJ',0.005287729700546816
srv_serror_rate,0.005135258396336075
num_root,0.004943860581604698
service_b'urp_i',0.004781474853329663
num_file_creations,0.004758605051183097
protocol_type_b'tcp',0.0044900689493668445
protocol_type_b'icmp',0.004312046992187368
flag_b'SF',0.004299270813365904
service_b'private',0.003562612937976697
service_b'finger',0.0035452187836617815
protocol_type_b'udp',0.0035313952098803827
service_b'ftp_data',0.0032995679160932557
service_b'domain_u',0.0032813441840270933
service_b'telnet',0.0032786079322917197
service_b'ecr_i',0.0032061572040993224
num_access_files,0.0030586110624703264
service_b'auth',0.0025566168252064594
flag_b'S0',0.0024974331263927876
service_b'ntp_u',0.002393504833481001
flag_b'RSTO',0.002024741460125946
service_b'pop_3',0.0020019344253565494
service_b'eco_i',0.0019472960911513623
service_b'IRC',0.001849656463494767
num_shells,0.0018266977492267845
num_compromised,0.001771529827826302
is_guest_login,0.0017089625893487047
service_b'time',0.001701006750670685
flag_b'RSTR',0.0013649607261849836
num_failed_logins,0.001198703747197678
service_b'ftp',0.0011976914458273113
flag_b'S1',0.0011756952073661941
service_b'urh_i',0.0010637766728703857
flag_b'S3',0.0006988003844634092
service_b'X11',0.00045548322638801344
su_attempted,0.0003029366696398342
flag_b'S2',0.00012769585964277883
root_shell,0.00011306598648115317
flag_b'OTH',9.212294814886824e-06
service_b'tftp_u',4.545932871176101e-06
service_b'tim_i',2.3202066002708731e-07
service_b'shell',0.0
service_b'uucp',0.0
urgent,0.0
wrong_fragment,0.0
land,0.0
service_b'systat',0.0
service_b'supdup',0.0
service_b'sunrpc',0.0
service_b'ssh',0.0
service_b'sql_net',0.0
service_b'whois',0.0
service_b'domain',0.0
service_b'rje',0.0
service_b'login',0.0
service_b'echo',0.0
service_b'ctf',0.0
service_b'bgp',0.0
service_b'Z39_50',0.0
service_b'gopher',0.0
service_b'hostnames',0.0
service_b'imap4',0.0
service_b'iso_tsap',0.0
service_b'kshell',0.0
service_b'ldap',0.0
service_b'mtp',0.0
service_b'red_i',0.0
service_b'netbios_dgm',0.0
service_b'netbios_ns',0.0
service_b'netstat',0.0
service_b'nnsp',0.0
service_b'nntp',0.0
is_host_login,0.0
service_b'pop_2',0.0
num_outbound_cmds,0.0
service_b'printer',0.0
service_b'daytime',0.0
flag_b'SH',0.0
