model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
Isolation Forest,kddcup99,0,0,0.5075757575757576,0.9970672711966676,0.9660938456843389,335,647,9081,3,0.9334909539473685,0.00033025099075297226,"[[9081  647]
 [   3  335]]"
Isolation Forest,kddcup99,1,0,0.5597326649958229,0.9977375744511056,0.970287982703054,335,524,9204,3,0.9461348684210527,0.00032583903551645487,"[[9204  524]
 [   3  335]]"
Isolation Forest,kddcup99,2,0,0.6247689463955638,0.999606455348801,0.9855669099296159,338,406,9322,0,0.958264802631579,0.0,"[[9322  406]
 [   0  338]]"
Isolation Forest,kddcup99,3,0,0.5441176470588235,0.9969906303526939,0.9801151965951691,333,553,9175,5,0.9431537828947368,0.0005446623093681918,"[[9175  553]
 [   5  333]]"
Isolation Forest,kddcup99,4,0,0.580364900086881,0.9980690765143257,0.97060002539682,334,479,9249,4,0.9507606907894737,0.0004322922295471739,"[[9249  479]
 [   4  334]]"
Isolation Forest,kddcup99,5,0,0.6086956521739131,0.9983239377335721,0.9630128347575782,336,430,9298,2,0.955797697368421,0.00021505376344086021,"[[9298  430]
 [   2  336]]"
Isolation Forest,kddcup99,6,0,0.5007496251874063,0.9958717348567425,0.9701845575501717,334,662,9066,4,0.9319490131578947,0.0004410143329658214,"[[9066  662]
 [   4  334]]"
Isolation Forest,kddcup99,7,0,0.5894736842105263,0.9983427568132126,0.9708164561393877,336,467,9261,1,0.9519942434210527,0.00010796804145972792,"[[9261  467]
 [   1  336]]"
Isolation Forest,kddcup99,8,0,0.4699300699300699,0.9986153137935674,0.9762320106248014,336,757,8970,1,0.9221753880949933,0.00011147029316687103,"[[8970  757]
 [   1  336]]"
Isolation Forest,kddcup99,9,0,0.4669479606188467,0.9976503958665027,0.9611741903325316,332,753,8974,5,0.9225866145779789,0.0005568548836173293,"[[8974  753]
 [   5  332]]"
